device_brand,os,screen_size,4g,5g,rear_camera_mp,front_camera_mp,internal_memory,ram,battery,weight,release_year,days_used,normalized_used_price,normalized_new_price,used_price_inr,new_price_inr,age_months,brand_encoded
honor,Android,20.32,yes,no,8.0,8.0,32.0,3.0,5100.0,173.0,2019,321,4.556295018,5.304001183,8570.699998234826,18102.599999704296,10.7,9
others,Android,20.32,no,no,8.0,0.3,16.0,1.0,5680.0,453.6,2013,933,4.45213555,5.48438191,7722.900001397619,21681.00000822087,31.1,24
htc,Android,15.29,yes,no,13.0,16.0,32.0,3.0,3850.0,170.0,2019,187,4.560800238,5.195730778,8609.39999782913,16245.000003688656,6.233333333333333,10
htc,Android,12.88,yes,no,13.0,13.0,64.0,4.0,3075.0,150.0,2019,499,4.595624773,5.39771011,8914.499998711319,19880.99999152928,16.633333333333333,10
htc,Android,15.29,yes,no,13.0,8.0,32.0,3.0,3300.0,160.0,2019,497,4.426521875,5.006091654,7527.600003308883,13438.799999376663,16.566666666666666,10
htc,Android,15.24,yes,no,13.0,14.5,128.0,6.0,3930.0,180.0,2019,202,5.213467289,6.039968956,16535.70000609103,37789.19999366665,6.733333333333333,10
htc,Android,15.29,yes,no,13.0,16.0,64.0,4.0,3850.0,170.0,2019,493,4.636668853,5.631426812,9287.999999559168,25115.39998834493,16.433333333333334,10
huawei,Android,15.37,yes,yes,10.5,16.0,128.0,6.0,4000.0,192.0,2020,91,4.905496976,5.520380334,12152.70000032872,22475.699994560844,3.033333333333333,11
huawei,Android,15.37,yes,yes,10.5,16.0,64.0,6.0,4000.0,182.0,2020,299,4.820442843,5.39603374,11161.800000873618,19847.699998926124,9.966666666666667,11
huawei,Android,15.32,yes,no,10.5,16.0,128.0,4.0,4000.0,163.0,2020,354,4.577901759,5.558024257,8757.900001454711,23337.89999604904,11.8,11
huawei,Android,15.32,yes,no,10.5,16.0,128.0,4.0,4000.0,163.0,2020,306,4.872828107,5.478970866,11762.100004599635,21563.99999479673,10.2,11
huawei,Android,20.32,yes,no,5.0,2.0,16.0,2.0,5100.0,310.0,2020,231,4.170533701,4.598246271,5827.500002449607,8937.900000757332,7.7,11
huawei,Android,15.37,yes,yes,10.5,16.0,128.0,8.0,4000.0,189.0,2020,205,4.709440107,5.765661212,9989.099998362903,28723.50000855771,6.833333333333333,11
huawei,Android,25.5,yes,no,8.0,8.0,64.0,4.0,7250.0,450.0,2020,211,5.133088887,5.51877732,15258.599997249497,22439.699994770544,7.033333333333333,11
huawei,Android,16.71,yes,yes,10.5,16.0,256.0,8.0,4200.0,226.0,2020,120,6.153455837,7.244220373,42330.59998185348,125999.10003519196,4.0,11
huawei,Android,16.23,yes,no,10.5,8.0,64.0,4.0,4000.0,176.0,2020,161,4.644390899,5.0681492,9359.999998676754,14299.199995755102,5.366666666666666,11
huawei,Android,25.6,yes,yes,13.0,8.0,128.0,6.0,7250.0,460.0,2020,139,5.18245748,6.310336373,16030.799992730006,49520.700018270625,4.633333333333334,11
huawei,Android,16.23,yes,no,10.5,8.0,64.0,4.0,4000.0,176.0,2020,93,4.322143925,4.95342982,6781.49999950831,12749.399995850372,3.1,11
huawei,Android,16.74,yes,no,13.0,16.0,128.0,6.0,4000.0,206.0,2019,460,5.065439086,5.672429397,14260.499998047308,26166.600000047656,15.333333333333334,11
huawei,Android,15.34,yes,no,13.0,16.0,128.0,8.0,4200.0,183.0,2019,223,4.931375613,5.634110801,12471.29999862038,25182.899989753543,7.433333333333334,11
huawei,Android,25.6,yes,no,13.0,8.0,128.0,6.0,7250.0,460.0,2019,256,4.997685135,6.107267847,13326.300001057743,40419.90001610631,8.533333333333333,11
huawei,Android,15.9,yes,no,13.0,32.0,64.0,6.0,4000.0,178.0,2019,206,4.99653637,5.294560318,13311.000003770288,17932.500005911912,6.866666666666666,11
huawei,Android,15.32,yes,no,13.0,16.0,64.0,6.0,4000.0,163.0,2019,488,4.537426534,5.306731865,8410.500000827828,18152.099997294335,16.266666666666666,11
huawei,Android,16.23,yes,no,13.0,8.0,64.0,4.0,4000.0,176.0,2019,516,4.705286977,5.010968572,9947.699996788246,13504.500001534438,17.2,11
huawei,Android,16.59,yes,yes,13.0,16.0,512.0,12.0,4500.0,198.0,2019,289,5.674182005,7.438006989,26212.500003147838,152942.40006527127,9.633333333333333,11
huawei,Android,16.81,yes,yes,13.0,16.0,128.0,6.0,4200.0,196.0,2019,477,5.380450196,6.477264628,19540.799998308565,58517.10000769967,15.9,11
huawei,Android,16.81,yes,no,13.0,16.0,128.0,6.0,4200.0,196.0,2019,195,5.014826499,6.313729189,13556.700003867401,49688.99998559024,6.5,11
huawei,Android,15.9,yes,no,13.0,32.0,128.0,6.0,4000.0,178.0,2019,244,5.143474781,5.67029463,15417.90000397216,26110.799987069626,8.133333333333333,11
huawei,Android,16.74,yes,no,13.0,16.0,128.0,4.0,4000.0,163.5,2019,376,4.839293241,5.250281918,11374.199996072384,17155.800008415263,12.533333333333333,11
huawei,Android,25.6,yes,no,13.0,8.0,64.0,4.0,7500.0,498.0,2019,205,4.936629881,5.704781975,12537.000002685927,27027.00000028962,6.833333333333333,11
huawei,Android,20.42,yes,no,13.0,8.0,128.0,6.0,6100.0,340.0,2019,406,5.294259143,5.856932654,17927.099998437065,31468.499995283648,13.533333333333333,11
huawei,Android,20.42,yes,no,13.0,8.0,64.0,4.0,6100.0,320.0,2019,462,5.001190835,5.556287375,13373.099996412586,23297.39999966703,15.4,11
huawei,Android,16.23,yes,no,13.0,32.0,128.0,8.0,3500.0,171.0,2019,333,5.428204627,5.9652489,20496.5999921609,35068.49998984521,11.1,11
huawei,Android,16.23,yes,no,13.0,32.0,128.0,8.0,3500.0,171.0,2019,284,5.378560054,5.885520528,19503.899995626463,32381.10000285797,9.466666666666667,11
huawei,Android,15.34,yes,no,13.0,24.0,128.0,6.0,4000.0,178.0,2019,202,5.058853866,5.562948291,14166.899994804568,23453.10000072552,6.733333333333333,11
huawei,Android,15.34,yes,no,13.0,16.0,64.0,4.0,4000.0,178.0,2019,445,5.043683148,5.637785112,13953.599998012229,25275.59999623273,14.833333333333334,11
huawei,Android,16.74,yes,no,13.0,16.0,64.0,4.0,4000.0,196.8,2019,375,4.607467545,5.638105528,9020.699999668268,25283.700000497287,12.5,11
huawei,Android,10.16,no,no,5.0,2.0,16.0,4.0,1700.0,136.1,2014,666,3.579343567,4.70311326,3226.499999852777,9926.099996842951,22.2,11
huawei,Android,17.78,no,no,3.15,0.3,8.0,1.0,4100.0,350.0,2013,819,3.982295058,5.016551095,4827.599998003895,13580.100006442937,27.3,11
infinix,Android,17.32,yes,no,8.0,8.0,32.0,2.0,6000.0,209.0,2020,245,4.282068168,4.59764192,6515.099998012571,8932.500003865096,8.166666666666666,12
infinix,Android,15.39,yes,no,8.0,8.0,64.0,4.0,5000.0,185.0,2020,173,4.363608049,4.711779921,7068.599998940673,10012.499999535921,5.766666666666667,12
infinix,Android,15.39,yes,no,8.0,8.0,32.0,2.0,5000.0,185.0,2020,256,4.181439269,4.505460342,5891.399999569726,8145.900001310844,8.533333333333333,12
infinix,Android,15.39,yes,no,8.0,16.0,32.0,3.0,4000.0,178.0,2019,316,4.555244377,4.602165677,8561.69999813042,8973.000000289,10.533333333333333,12
infinix,Android,15.29,yes,no,8.0,16.0,32.0,2.0,4000.0,165.0,2019,468,4.416669578,4.871296595,7453.799999124763,11744.099994431466,15.6,12
lava,Android,14.5,yes,no,8.0,5.0,32.0,2.0,3200.0,150.0,2020,356,3.989909544,4.381026134,4864.4999995854605,7192.7999975523035,11.866666666666667,14
lava,Android,12.7,no,no,5.0,0.3,8.0,0.5,3000.0,147.6,2016,819,3.495598057,4.113002744,2967.2999997518164,5501.699999776444,27.3,14
lenovo,Android,25.43,yes,no,8.0,5.0,32.0,3.0,7000.0,520.0,2020,233,4.726768158,5.20136584,10163.700002687494,16336.799992295792,7.766666666666667,15
lenovo,Android,25.43,no,no,8.0,5.0,64.0,4.0,7000.0,580.0,2019,419,5.214881408,5.775141434,16559.099994932883,28997.100010496582,13.966666666666667,15
lenovo,Android,15.47,yes,no,8.0,5.0,16.0,2.0,4000.0,172.0,2019,267,3.940610462,4.591071262,4630.499998703189,8874.000003473373,8.9,15
lenovo,Android,20.32,yes,no,13.0,5.0,16.0,2.0,5100.0,305.0,2019,461,4.779375562,5.066133071,10712.699998073984,14270.40000596963,15.366666666666667,15
lenovo,Android,20.32,yes,no,5.0,2.0,16.0,2.0,5000.0,305.0,2019,423,4.463721822,4.938064601,7812.899996845804,12554.999996717865,14.1,15
lenovo,Android,17.78,yes,no,2.0,2.0,32.0,1.0,3590.0,236.0,2019,528,3.896096855,4.606768907,4428.900000540828,9014.39999682884,17.6,15
lenovo,Android,16.23,yes,no,8.0,16.0,64.0,6.0,4000.0,159.0,2019,254,4.423648309,5.524974737,7505.999997262553,22579.199996341198,8.466666666666667,15
lenovo,Android,16.23,yes,yes,8.0,32.0,128.0,6.0,4000.0,185.0,2019,370,5.342812606,5.992264227,18818.999991821485,36028.799989964304,12.333333333333334,15
lenovo,Android,15.32,yes,no,8.0,16.0,64.0,4.0,4050.0,164.0,2019,482,4.676839473,5.062468443,9668.700003108963,14218.200003749727,16.066666666666666,15
lenovo,Android,25.43,yes,no,8.0,8.0,16.0,2.0,8400.0,655.0,2016,691,5.056182109,5.191233144,14129.09999926209,16172.100000996808,23.033333333333335,15
lg,Android,16.59,yes,no,5.0,16.0,64.0,4.0,4000.0,196.5,2020,273,4.879082894,5.601491318,11835.899995811586,24374.70000566139,9.1,16
lg,Android,15.44,yes,no,5.0,13.0,64.0,3.0,4000.0,219.0,2020,349,4.350148896,5.299466706,6974.100001563185,18020.700003521993,11.633333333333333,16
lg,Others,5.28,yes,no,2.0,13.0,8.0,1.0,1470.0,127.0,2020,343,3.875566468,5.015689168,4338.899998188376,13568.39999458709,11.433333333333334,16
lg,Android,15.44,yes,yes,5.0,10.0,128.0,8.0,5000.0,218.0,2020,352,4.734442522,6.768240306,10242.000003152176,78280.19999158484,11.733333333333333,16
lg,Android,15.44,yes,yes,5.0,10.0,128.0,8.0,5000.0,213.0,2020,142,5.476463552,6.55079458,21510.00000147321,62982.00000418277,4.733333333333333,16
lg,Android,15.37,yes,no,5.0,13.0,32.0,3.0,4000.0,196.5,2020,92,4.636959508,5.481430277,9290.699995563706,21617.100004196036,3.066666666666667,16
lg,Android,14.5,yes,no,8.0,8.0,32.0,3.0,3450.0,170.0,2020,166,4.230767603,4.870683334,6189.299997946734,11736.900003887135,5.533333333333333,16
lg,Android,25.43,yes,no,8.0,5.0,32.0,4.0,8200.0,498.0,2019,329,4.709620287,5.82953368,9990.899996557577,30618.00000117079,10.966666666666667,16
lg,Android,15.34,yes,yes,8.0,32.0,256.0,8.0,4000.0,192.0,2019,383,5.467680322,7.003174544,21321.899996213237,99010.80002519111,12.766666666666667,16
lg,Android,15.34,yes,no,8.0,16.0,64.0,4.0,4000.0,198.0,2019,443,4.696928611,5.766225051,9864.89999775443,28739.70000474467,14.766666666666667,16
lg,Android,13.84,yes,no,8.0,5.0,16.0,2.0,3000.0,148.0,2019,257,4.255328982,4.944353031,6343.200002360151,12634.199996180994,8.566666666666666,16
lg,Android,13.84,yes,no,8.0,5.0,16.0,1.0,3000.0,152.0,2019,380,4.08933202,4.606369467,5372.999997858554,9010.800003932554,12.666666666666666,16
lg,Android,15.27,yes,no,8.0,13.0,32.0,2.0,3500.0,186.0,2019,255,4.64352514,5.082211493,9351.900001266667,14501.700006011279,8.5,16
lg,Android,15.37,yes,no,8.0,13.0,32.0,3.0,4000.0,194.0,2019,512,4.550608398,5.304299438,8522.100000039123,18107.999995915125,17.066666666666666,16
lg,Android,15.8,yes,no,8.0,16.0,64.0,4.0,4050.0,172.0,2019,223,4.461877016,5.248023572,7798.499998739644,17117.09999155152,7.433333333333334,16
lg,Android,15.9,yes,no,8.0,16.0,32.0,3.0,4000.0,175.0,2019,200,4.582310892,4.864607093,8796.600001389783,11665.800000005016,6.666666666666667,16
lg,Android,15.72,yes,no,8.0,8.0,32.0,3.0,4000.0,164.0,2019,210,4.373994463,4.694645192,7142.400000167007,9842.399995908574,7.0,16
lg,Android,15.29,yes,no,13.0,5.0,32.0,3.0,3500.0,179.0,2019,216,4.517649588,5.300415165,8245.799996218511,18037.800006670695,7.2,16
lg,Android,15.29,yes,no,16.0,5.0,64.0,4.0,3300.0,172.0,2018,724,4.887940214,5.704049106,11941.19999905842,27007.200006113573,24.133333333333333,16
lg,Android,12.83,yes,no,13.0,5.0,16.0,2.0,4500.0,171.0,2018,628,4.358630057,5.191066176,7033.500000932041,16169.400003216726,20.933333333333334,16
lg,Android,7.62,no,no,2.0,1.3,4.0,0.5,1540.0,140.45,2014,750,3.027715319,3.925925911,1858.4999992435128,4563.0000018382625,25.0,16
meizu,Android,15.39,yes,yes,13.0,20.0,128.0,8.0,4500.0,199.0,2020,186,5.167866937,6.272027589,15798.599997409485,47659.499986194096,6.2,17
meizu,Android,15.37,yes,no,13.0,16.0,128.0,6.0,4500.0,183.0,2019,449,4.665512415,5.526329049,9559.800000054942,22609.799994141646,14.966666666666667,17
meizu,Android,15.37,yes,no,13.0,8.0,32.0,2.0,4000.0,184.0,2019,190,4.290185431,5.195176608,6568.199999945475,16236.00000603129,6.333333333333333,17
meizu,Android,15.29,yes,no,13.0,20.0,128.0,6.0,3600.0,166.0,2019,459,4.721084811,5.830679408,10106.100004199616,30653.100004764965,15.3,17
meizu,Android,15.29,yes,no,13.0,16.0,64.0,6.0,4000.0,165.0,2019,517,4.842295535,5.388660686,11408.40000202248,19701.89999122007,17.233333333333334,17
meizu,Android,15.29,yes,no,13.0,20.0,128.0,6.0,3600.0,165.0,2019,332,4.959412173,6.040659391,12825.900004038604,37815.29998910263,11.066666666666666,17
micromax,Android,10.16,no,no,2.0,0.3,0.5,0.25,1500.0,146.5,2014,1016,3.043569603,3.926714554,1888.200000060137,4566.599999218492,33.86666666666667,18
micromax,Android,7.75,no,no,0.3,0.3,0.5,0.25,1500.0,89.0,2014,956,2.386926241,3.664842876,979.1999995811013,3514.499998995924,31.866666666666667,18
micromax,Android,10.03,no,no,2.0,0.3,0.2,0.25,2000.0,85.0,2013,680,2.856470206,4.244630641,1565.999999654723,6275.699998538265,22.666666666666668,18
micromax,Android,10.16,no,no,2.0,0.3,16.0,4.0,2000.0,89.0,2013,733,3.108614431,4.094844437,2015.1000007845516,5402.699998575028,24.433333333333334,18
micromax,Android,7.75,no,no,0.3,0.3,16.0,4.0,2000.0,89.0,2013,1029,2.989714201,3.884240624,1789.1999995912965,4376.699998180629,34.3,18
motorola,Android,15.37,yes,no,13.0,16.0,128.0,6.0,5000.0,210.0,2020,242,4.829672813,5.704848573,11265.299996170565,27028.800004373283,8.066666666666666,20
motorola,Android,15.42,yes,yes,13.0,25.0,256.0,12.0,5000.0,203.0,2020,220,5.186882886,7.090784918,16101.899998361934,108076.49996111706,7.333333333333333,20
nokia,Android,16.56,yes,no,0.3,8.0,64.0,3.0,4000.0,200.0,2020,310,4.186011751,5.004885462,5918.400001491882,13422.599998447691,10.333333333333334,21
nokia,Android,13.84,yes,no,0.3,5.0,16.0,2.0,3000.0,180.0,2020,193,3.616308761,4.100160948,3347.99999906557,5431.500002479261,6.433333333333334,21
nokia,Android,13.84,yes,no,0.3,5.0,16.0,2.0,3000.0,180.0,2020,356,4.055430469,4.591983624,5193.90000143936,8882.099998366442,11.866666666666667,21
nokia,Others,5.18,no,no,0.3,0.0,0.1,0.03,1020.0,90.5,2020,272,2.910174385,3.399863159,1652.3999996821701,2696.400000946386,9.066666666666666,21
nokia,Others,5.18,no,no,0.3,0.0,0.06,4.0,1020.0,91.3,2020,288,2.729159164,2.911263117,1378.7999995692003,1654.2000001198614,9.6,21
nokia,Android,17.3,yes,yes,0.3,24.0,64.0,6.0,4500.0,220.0,2020,284,5.314043067,6.216845593,18285.29999982594,45100.79998365622,9.466666666666667,21
nokia,Others,5.18,no,no,0.3,0.0,0.06,0.02,1200.0,88.2,2020,266,3.370738174,3.699077279,2618.9999995352664,3636.8999996712887,8.866666666666667,21
nokia,Others,5.18,yes,no,0.3,0.0,16.0,0.02,1200.0,86.5,2019,234,2.721295428,3.688379329,1368.0000002021484,3598.1999997400158,7.8,21
oneplus,Android,16.64,yes,yes,13.0,16.0,128.0,8.0,4300.0,180.0,2020,110,5.620944196,6.609308811,24853.49999137095,66777.29999444625,3.6666666666666665,22
oneplus,Android,16.64,yes,yes,13.0,16.0,128.0,8.0,4300.0,180.0,2020,208,5.288166015,6.474106722,17818.19999123948,58332.59997668541,6.933333333333334,22
oneplus,Android,16.94,yes,yes,13.0,16.0,256.0,12.0,4085.0,206.0,2019,458,5.713402718,6.686160528,27260.99999909517,72111.6000246782,15.266666666666667,22
oneplus,Android,16.94,yes,yes,13.0,16.0,128.0,6.0,4000.0,206.0,2019,294,5.670983763,6.686647155,26128.800002487067,72146.70001587245,9.8,22
oppo,Android,16.64,yes,yes,13.0,32.0,128.0,8.0,4000.0,172.0,2020,187,5.170881643,6.153455837,15846.299996222997,42330.59998185348,6.233333333333333,23
oppo,Android,16.33,yes,yes,13.0,32.0,128.0,8.0,4000.0,183.0,2020,271,5.009634794,5.910254492,13486.500003200723,33192.00001054049,9.033333333333333,23
oppo,Android,16.69,yes,yes,13.0,32.0,128.0,6.0,4000.0,184.0,2020,100,5.033895988,5.672842052,13817.700004548684,26177.40000655576,3.3333333333333335,23
oppo,Android,16.64,yes,yes,13.0,16.0,128.0,8.0,4000.0,186.0,2020,186,5.116615618,6.253482598,15009.30000550109,46783.80000915804,6.2,23
oppo,Android,15.29,yes,no,13.0,8.0,64.0,3.0,4230.0,168.0,2020,273,4.578312732,4.782479201,8761.500001592762,10746.000000445942,9.1,23
oppo,Android,15.34,yes,yes,13.0,32.0,128.0,8.0,4025.0,180.0,2020,146,5.412315471,5.98838481,20173.500008040184,35889.30001503551,4.866666666666666,23
oppo,Android,15.34,yes,yes,8.0,32.0,128.0,8.0,4025.0,181.0,2019,397,4.868380247,6.088023946,11709.9000056748,39649.49998760006,13.233333333333333,23
oppo,Android,15.37,yes,no,8.0,8.0,128.0,4.0,4230.0,180.0,2019,411,4.57037168,5.01588814,8692.199996128531,13571.099994874145,13.7,23
oppo,Android,15.34,yes,no,8.0,25.0,128.0,6.0,3600.0,169.5,2019,276,4.936199063,5.632572862,12531.60000071132,25144.199992471706,9.2,23
oppo,Android,15.34,yes,no,8.0,32.0,128.0,4.0,4035.0,186.0,2019,205,4.94178527,5.800667172,12601.800005682757,29746.8000049682,6.833333333333333,23
oppo,Android,16.59,yes,no,8.0,16.0,128.0,6.0,4020.0,190.0,2019,321,4.656718448,5.556287375,9476.100001244518,23297.39999966703,10.7,23
oppo,Android,15.39,yes,yes,8.0,16.0,256.0,8.0,4065.0,215.0,2019,392,5.295613715,6.780830585,17951.400000471727,79271.99996761978,13.066666666666666,23
oppo,Android,15.27,yes,no,8.0,5.0,32.0,2.0,4000.0,170.0,2019,296,4.322011202,4.605670061,6780.599998210631,9004.499999732181,9.866666666666667,23
oppo,Android,15.29,yes,no,13.0,8.0,32.0,3.0,4230.0,168.0,2018,664,4.457713717,5.437252881,7766.100003726048,20682.900008918165,22.133333333333333,23
oppo,Android,10.29,yes,no,8.0,5.0,8.0,1.0,2000.0,135.0,2015,1076,4.02463715,5.009968405,5036.400001020978,13490.999998535532,35.86666666666667,23
others,Android,16.43,yes,yes,8.0,20.0,128.0,6.0,4000.0,171.0,2019,317,5.570212986,6.803360963,23624.09999839494,81078.29999435406,10.566666666666666,24
realme,Android,15.37,yes,no,13.0,16.0,64.0,4.0,4300.0,191.0,2020,289,4.702659807,5.302060353,9921.599997367317,18067.500003128003,9.633333333333333,26
realme,Android,15.37,yes,no,13.0,16.0,128.0,4.0,5000.0,199.0,2020,338,4.941570991,5.0141624,12599.09999386759,13547.700001728517,11.266666666666667,26
realme,Android,15.37,yes,no,13.0,5.0,32.0,3.0,5000.0,195.0,2020,111,4.498364182,4.606569207,8088.300002666861,9012.600000885046,3.7,26
realme,Android,15.27,yes,no,13.0,5.0,32.0,3.0,4000.0,166.0,2020,167,2.896464272,3.690877457,1629.9000001706142,3607.200000805815,5.566666666666666,26
realme,Android,15.27,yes,no,13.0,5.0,32.0,2.0,4000.0,166.0,2019,399,4.288677032,4.611351045,6558.3000020842865,9055.799999427923,13.3,26
samsung,Android,20.32,yes,no,5.0,2.0,16.0,1.5,4200.0,313.0,2015,909,4.32611744,5.348202169,6808.499998404326,18920.699990974183,30.3,27
others,Android,15.34,yes,no,2.0,8.0,256.0,8.0,3130.0,141.0,2020,135,4.915665057,6.508292123,12276.90000607671,60361.19999579845,4.5,24
others,Android,12.93,yes,no,8.0,8.0,64.0,4.0,3090.0,173.0,2019,523,4.180522258,5.34563025,5885.999997273881,18872.100007574238,17.433333333333334,24
others,Android,16.59,yes,yes,2.0,16.0,128.0,6.0,4500.0,210.0,2020,234,5.020849617,5.985371019,13638.60000677528,35781.299992148786,7.8,24
others,Android,16.59,yes,no,8.0,24.0,128.0,6.0,3820.0,192.0,2019,414,5.036303041,5.802239214,13851.00000214921,29793.600000082446,13.8,24
others,Android,17.78,yes,no,2.0,16.0,64.0,4.0,6000.0,220.0,2020,135,4.378896742,4.80557721,7177.500002404795,10997.099996388213,4.5,24
others,Android,15.39,yes,no,2.0,8.0,32.0,2.0,5000.0,206.5,2020,153,4.084294226,4.791151704,5345.999998029468,10839.600004189144,5.1,24
others,Android,15.39,yes,no,2.0,16.0,128.0,6.0,4000.0,203.0,2020,125,4.919469846,5.393172898,12323.699995758896,19791.000008693885,4.166666666666667,24
others,Android,12.83,yes,no,2.0,5.0,16.0,2.0,2700.0,153.0,2020,123,3.629394807,4.246493239,3392.099999053455,6287.399997619053,4.1,24
others,Android,12.7,yes,no,2.0,5.0,32.0,4.0,4000.0,234.0,2020,220,3.974809994,4.699388861,4791.600002266854,9889.19999775443,7.333333333333333,24
others,Android,12.7,yes,no,13.0,5.0,16.0,2.0,4000.0,234.0,2020,173,4.29374172,4.382276603,6591.600001276727,7201.799996909788,5.766666666666667,24
others,Android,15.42,yes,no,12.0,16.0,128.0,8.0,5000.0,159.0,2018,413,5.175471537,5.700042155,15919.200007176521,26899.199998911186,13.766666666666667,24
vivo,Android,16.36,yes,no,13.0,32.0,128.0,8.0,4500.0,176.0,2020,343,5.052864298,5.766694674,14082.29999557864,28753.199998585682,11.433333333333334,30
vivo,Android,16.59,yes,no,13.0,16.0,64.0,4.0,5000.0,204.1,2020,246,4.801065863,5.068904202,10947.600002089195,14309.999996848483,8.2,30
vivo,Android,16.66,yes,yes,13.0,32.0,128.0,8.0,4315.0,181.5,2020,145,5.560335417,6.446116566,23391.89999428531,56722.499996141196,4.833333333333333,30
vivo,Android,16.21,yes,no,13.0,16.0,128.0,8.0,4500.0,190.2,2020,300,4.847331743,5.702781974,11465.999998416968,26972.999991298027,10.0,30
vivo,Android,16.43,yes,no,13.0,8.0,128.0,4.0,5000.0,197.0,2020,118,4.823260994,5.249652195,11193.300003742484,17145.00000742798,3.933333333333333,30
vivo,Android,16.69,yes,yes,13.0,16.0,128.0,6.0,4500.0,198.1,2020,312,4.95434709,5.857447322,12761.100003197078,31484.699993691993,10.4,30
vivo,Android,17.5,yes,yes,13.0,16.0,256.0,8.0,4500.0,219.5,2020,226,5.466878008,6.447290015,21304.799998040937,56789.10002526572,7.533333333333333,30
vivo,Android,16.36,yes,no,13.0,32.0,128.0,8.0,4500.0,176.0,2020,199,5.192623462,5.599199434,16194.600000178585,24318.899988721838,6.633333333333334,30
vivo,Android,16.36,yes,yes,13.0,32.0,128.0,8.0,4350.0,196.5,2019,279,5.288014474,6.04545545,17815.50000797885,37997.10001228881,9.3,30
vivo,Android,16.21,yes,no,13.0,16.0,128.0,8.0,4500.0,198.5,2019,212,4.770599875,5.79331844,10619.099998812491,29529.000000972814,7.066666666666666,30
vivo,Android,16.59,yes,no,13.0,16.0,128.0,8.0,5000.0,193.0,2019,188,5.064302435,5.435249221,14244.299995082987,20641.499999108684,6.266666666666667,30
vivo,Android,16.21,yes,no,13.0,32.0,128.0,8.0,4500.0,186.7,2019,264,5.104732617,5.801816215,14831.99999294929,29781.000002157132,8.8,30
